Type,Instance,Name,PresentValue,Override,Description
Analog Input,1,Facility Outdoor Air Temperature,77.01798 °F,,
Analog Input,2,Facility Outdoor Air Humidity,85.28802 %,,
Analog Input,42,Ventilation Setpoint Active|vav-3,0 CFM,,
Analog Input,43,Air Valve Position Command|vav-4,100 %,,
Analog Input,44,Air Valve Size|vav-4,1100 CFM,,
Analog Input,45,Discharge Air Flow|vav-4,641.3 CFM,,
Analog Input,46,Heating Capacity Secondary Status|vav-4,0 %,,
Analog Input,47,Reheat Type|vav-4,2,,
Analog Input,48,Secondary Communication Address|vav-4,105,,
Analog Input,49,Secondary Communication Link|vav-4,2,,
Analog Input,50,Space Temperature Active|vav-4,72.9 °F,,
Analog Input,51,Space Temperature Setpoint Active|vav-4,75.5 °F,,
Analog Input,52,Supply Fan Type|vav-4,22,,
Analog Input,53,Ventilation Ratio|vav-4,17 %,,
Analog Input,54,Ventilation Setpoint Active|vav-4,110 CFM,,
Analog Input,55,Air Valve Position Command|vav-5,100 %,,
Analog Input,56,Air Valve Size|vav-5,1100 CFM,,
Analog Input,57,Discharge Air Flow|vav-5,503.8 CFM,,
Analog Input,58,Heating Capacity Secondary Status|vav-5,0 %,,
Analog Input,59,Reheat Type|vav-5,2,,
Analog Input,60,Secondary Communication Address|vav-5,104,,
Analog Input,61,Secondary Communication Link|vav-5,2,,
Analog Input,62,Space Temperature Active|vav-5,74.7 °F,,
Analog Input,63,Space Temperature Setpoint Active|vav-5,73.5 °F,,
Analog Input,64,Supply Fan Type|vav-5,22,,
Analog Input,65,Ventilation Ratio|vav-5,22 %,,
Analog Input,66,Ventilation Setpoint Active|vav-5,110 CFM,,
Analog Input,67,Air Valve Position Command|vav-6,100 %,,
Analog Input,68,Air Valve Size|vav-6,600 CFM,,
Analog Input,69,Discharge Air Flow|vav-6,369 CFM,,
Analog Input,70,Heating Capacity Secondary Status|vav-6,0 %,,
Analog Input,71,Reheat Type|vav-6,2,,
Analog Input,72,Secondary Communication Address|vav-6,103,,
Analog Input,73,Secondary Communication Link|vav-6,2,,
Analog Input,74,Space Temperature Active|vav-6,75.4 °F,,
Analog Input,75,Space Temperature Setpoint Active|vav-6,73.5 °F,,
Analog Input,76,Supply Fan Speed Status|vav-6,0 %,,
Analog Input,77,Supply Fan Type|vav-6,22,,
Analog Input,78,Ventilation Ratio|vav-6,16 %,,
Analog Input,79,Ventilation Setpoint Active|vav-6,60 CFM,,
Analog Input,80,Air Valve Position Command|vav-7,0 %,,
Analog Input,81,Air Valve Size|vav-7,1700 CFM,,
Analog Input,82,Discharge Air Flow|vav-7,209.1 CFM,,
Analog Input,83,Generic Temperature Input|vav-7,59.5 °F,,
Analog Input,84,Heating Capacity Secondary Status|vav-7,0 %,,
Analog Input,85,Reheat Type|vav-7,2,,
Analog Input,86,Secondary Communication Address|vav-7,102,,
Analog Input,87,Secondary Communication Link|vav-7,2,,
Analog Input,88,Space Temperature Active|vav-7,73 °F,,
Analog Input,89,Space Temperature Setpoint Active|vav-7,73.5 °F,,
Analog Input,90,Supply Fan Speed Status|vav-7,0 %,,
Analog Input,91,Supply Fan Type|vav-7,22,,
Analog Input,92,Ventilation Ratio|vav-7,83 %,,
Analog Input,93,Ventilation Setpoint Active|vav-7,170 CFM,,
Analog Input,94,Air Valve Position Command|vav-8,36 %,,
Analog Input,95,Air Valve Size|vav-8,1700 CFM,,
Analog Input,96,Discharge Air Flow|vav-8,414.8 CFM,,
Analog Input,97,Generic Temperature Input|vav-8,52.3 °F,,
Analog Input,98,Heating Capacity Secondary Status|vav-8,0 %,,
Analog Input,99,Reheat Type|vav-8,2,,
Analog Input,100,Secondary Communication Address|vav-8,101,,
Analog Input,101,Secondary Communication Link|vav-8,2,,
Analog Input,102,Space Temperature Active|vav-8,72.9 °F,,
Analog Input,103,Space Temperature Setpoint Active|vav-8,73.5 °F,,
Analog Input,104,Supply Fan Speed Status|vav-8,0 %,,
Analog Input,105,Supply Fan Type|vav-8,22,,
Analog Input,106,Ventilation Ratio|vav-8,40 %,,
Analog Input,107,Ventilation Setpoint Active|vav-8,170 CFM,,
Analog Input,108,Air Valve Position Command|vav-9,100 %,,
Analog Input,109,Air Valve Size|vav-9,1700 CFM,,
Analog Input,110,Discharge Air Flow|vav-9,821.1 CFM,,
Analog Input,111,Generic Temperature Input|vav-9,75.9 °F,,
Analog Input,112,Heating Capacity Secondary Status|vav-9,0 %,,
Analog Input,113,Reheat Type|vav-9,2,,
Analog Input,114,Secondary Communication Address|vav-9,100,,
Analog Input,115,Secondary Communication Link|vav-9,2,,
Analog Input,116,Space Temperature Active|vav-9,73.5 °F,,
Analog Input,117,Space Temperature Setpoint Active|vav-9,73.5 °F,,
Analog Input,118,Supply Fan Speed Status|vav-9,0 %,,
Analog Input,119,Supply Fan Type|vav-9,22,,
Analog Input,120,Ventilation Ratio|vav-9,21 %,,
Analog Input,121,Ventilation Setpoint Active|vav-9,170 CFM,,
Analog Input,122,Air Valve Position Command|vav-10,65 %,,
Analog Input,123,Air Valve Size|vav-10,1100 CFM,,
Analog Input,124,Discharge Air Flow|vav-10,573.1 CFM,,
Analog Input,125,Heating Capacity Secondary Status|vav-10,0 %,,
Analog Input,126,Reheat Type|vav-10,2,,
Analog Input,127,Secondary Communication Address|vav-10,99,,
Analog Input,128,Secondary Communication Link|vav-10,2,,
Analog Input,129,Space Temperature Active|vav-10,72.4 °F,,
Analog Input,130,Space Temperature Setpoint Active|vav-10,73.5 °F,,
Analog Input,131,Supply Fan Speed Status|vav-10,0 %,,
Analog Input,132,Supply Fan Type|vav-10,22,,
Analog Input,133,Ventilation Ratio|vav-10,19 %,,
Analog Input,134,Ventilation Setpoint Active|vav-10,110 CFM,,
Analog Input,135,Air Valve Position Command|vav-11,34 %,,
Analog Input,136,Air Valve Size|vav-11,1700 CFM,,
Analog Input,137,Discharge Air Flow|vav-11,295.8 CFM,,
Analog Input,138,Generic Temperature Input|vav-11,59.1 °F,,
Analog Input,139,Heating Capacity Secondary Status|vav-11,0 %,,
Analog Input,140,Reheat Type|vav-11,2,,
Analog Input,141,Secondary Communication Address|vav-11,98,,
Analog Input,142,Secondary Communication Link|vav-11,2,,
Analog Input,143,Space Temperature Active|vav-11,72.2 °F,,
Analog Input,144,Space Temperature Setpoint Active|vav-11,73.5 °F,,
Analog Input,145,Supply Fan Speed Status|vav-11,0 %,,
Analog Input,146,Supply Fan Type|vav-11,22,,
Analog Input,147,Ventilation Ratio|vav-11,56 %,,
Analog Input,148,Ventilation Setpoint Active|vav-11,170 CFM,,
Analog Input,149,Air Valve Position Command|vav-12,57 %,,
Analog Input,150,Air Valve Size|vav-12,1700 CFM,,
Analog Input,151,Discharge Air Flow|vav-12,848.3 CFM,,
Analog Input,152,Generic Temperature Input|vav-12,59.1 °F,,
Analog Input,153,Heating Capacity Secondary Status|vav-12,100 %,,
Analog Input,154,Reheat Type|vav-12,2,,
Analog Input,155,Secondary Communication Address|vav-12,97,,
Analog Input,156,Secondary Communication Link|vav-12,2,,
Analog Input,157,Space Temperature Active|vav-12,72.2 °F,,
Analog Input,158,Space Temperature Setpoint Active|vav-12,73 °F,,
Analog Input,159,Supply Fan Speed Status|vav-12,0 %,,
Analog Input,160,Supply Fan Type|vav-12,22,,
Analog Input,161,Ventilation Ratio|vav-12,0 %,,
Analog Input,162,Ventilation Setpoint Active|vav-12,0 CFM,,
Analog Input,163,Air Valve Position Command|vav-13,100 %,,
Analog Input,164,Air Valve Size|vav-13,1100 CFM,,
Analog Input,165,Discharge Air Flow|vav-13,578.6 CFM,,
Analog Input,166,Generic Temperature Input|vav-13,59.2 °F,,
Analog Input,167,Heating Capacity Secondary Status|vav-13,0 %,,
Analog Input,168,Reheat Type|vav-13,2,,
Analog Input,169,Secondary Communication Address|vav-13,96,,
Analog Input,170,Secondary Communication Link|vav-13,2,,
Analog Input,171,Space Temperature Active|vav-13,75.5 °F,,
Analog Input,172,Space Temperature Setpoint Active|vav-13,73.5 °F,,
Analog Input,173,Supply Fan Type|vav-13,22,,
Analog Input,174,Ventilation Ratio|vav-13,19 %,,
Analog Input,175,Ventilation Setpoint Active|vav-13,110 CFM,,
Analog Input,176,Air Valve Position Command|vav-14,57 %,,
Analog Input,177,Air Valve Size|vav-14,600 CFM,,
Analog Input,178,Discharge Air Flow|vav-14,291.6 CFM,,
Analog Input,179,Generic Temperature Input|vav-14,84.3 °F,,
Analog Input,180,Heating Capacity Secondary Status|vav-14,100 %,,
Analog Input,181,Reheat Type|vav-14,2,,
Analog Input,182,Secondary Communication Address|vav-14,95,,
Analog Input,183,Secondary Communication Link|vav-14,2,,
Analog Input,184,Space Temperature Active|vav-14,70.6 °F,,
Analog Input,185,Space Temperature Setpoint Active|vav-14,71.5 °F,,
Analog Input,186,Supply Fan Type|vav-14,22,,
Analog Input,187,Ventilation Ratio|vav-14,21 %,,
Analog Input,188,Ventilation Setpoint Active|vav-14,60 CFM,,
Analog Input,189,Air Valve Position Command|vav-15,100 %,,
Analog Input,190,Air Valve Size|vav-15,600 CFM,,
Analog Input,191,Discharge Air Flow|vav-15,316.8 CFM,,
Analog Input,192,Heating Capacity Secondary Status|vav-15,0 %,,
Analog Input,193,Reheat Type|vav-15,2,,
Analog Input,194,Secondary Communication Address|vav-15,94,,
Analog Input,195,Secondary Communication Link|vav-15,2,,
Analog Input,196,Space Temperature Active|vav-15,70.6 °F,,
Analog Input,197,Space Temperature Setpoint Active|vav-15,71.5 °F,,
Analog Input,198,Supply Fan Speed Status|vav-15,0 %,,
Analog Input,199,Supply Fan Type|vav-15,22,,
Analog Input,200,Ventilation Ratio|vav-15,19 %,,
Analog Input,201,Ventilation Setpoint Active|vav-15,60 CFM,,
Analog Input,202,Air Valve Position Command|vav-16,100 %,,
Analog Input,203,Air Valve Size|vav-16,1100 CFM,,
Analog Input,204,Discharge Air Flow|vav-16,630.3 CFM,,
Analog Input,205,Heating Capacity Secondary Status|vav-16,0 %,,
Analog Input,206,Reheat Type|vav-16,2,,
Analog Input,207,Secondary Communication Address|vav-16,93,,
Analog Input,208,Secondary Communication Link|vav-16,2,,
Analog Input,209,Space Temperature Active|vav-16,75.7 °F,,
Analog Input,210,Space Temperature Setpoint Active|vav-16,73.5 °F,,
Analog Input,211,Supply Fan Type|vav-16,22,,
Analog Input,212,Ventilation Ratio|vav-16,17 %,,
Analog Input,213,Ventilation Setpoint Active|vav-16,110 CFM,,
Analog Input,214,Air Valve Position Command|vav-17,38 %,,
Analog Input,215,Air Valve Size|vav-17,1700 CFM,,
Analog Input,216,Discharge Air Flow|vav-17,697 CFM,,
Analog Input,217,Generic Temperature Input|vav-17,72.4 °F,,
Analog Input,218,Heating Capacity Secondary Status|vav-17,0 %,,
Analog Input,219,Reheat Type|vav-17,2,,
Analog Input,220,Secondary Communication Address|vav-17,92,,
Analog Input,221,Secondary Communication Link|vav-17,2,,
Analog Input,222,Space Temperature Active|vav-17,73.7 °F,,
Analog Input,223,Space Temperature Setpoint Active|vav-17,74.5 °F,,
Analog Input,224,Supply Fan Speed Status|vav-17,0 %,,
Analog Input,225,Supply Fan Type|vav-17,22,,
Analog Input,226,Ventilation Ratio|vav-17,24 %,,
Analog Input,227,Ventilation Setpoint Active|vav-17,170 CFM,,
Analog Input,228,Air Valve Position Command|vav-18,100 %,,
Analog Input,229,Air Valve Size|vav-18,1100 CFM,,
Analog Input,230,Discharge Air Flow|vav-18,530.2 CFM,,
Analog Input,231,Heating Capacity Secondary Status|vav-18,100 %,,
Analog Input,232,Reheat Type|vav-18,2,,
Analog Input,233,Secondary Communication Address|vav-18,91,,
Analog Input,234,Secondary Communication Link|vav-18,2,,
Analog Input,235,Space Temperature Active|vav-18,70.1 °F,,
Analog Input,236,Space Temperature Setpoint Active|vav-18,71.5 °F,,
Analog Input,237,Supply Fan Speed Status|vav-18,0 %,,
Analog Input,238,Supply Fan Type|vav-18,22,,
Analog Input,239,Ventilation Ratio|vav-18,21 %,,
Analog Input,240,Ventilation Setpoint Active|vav-18,110 CFM,,
Analog Input,241,Air Valve Position Command|vav-19,100 %,,
Analog Input,242,Air Valve Size|vav-19,1100 CFM,,
Analog Input,243,Discharge Air Flow|vav-19,555.5 CFM,,
Analog Input,244,Heating Capacity Secondary Status|vav-19,0 %,,
Analog Input,245,Reheat Type|vav-19,2,,
Analog Input,246,Secondary Communication Address|vav-19,90,,
Analog Input,247,Secondary Communication Link|vav-19,2,,
Analog Input,248,Space Temperature Active|vav-19,73.6 °F,,
Analog Input,249,Space Temperature Setpoint Active|vav-19,73.5 °F,,
Analog Input,250,Supply Fan Type|vav-19,22,,
Analog Input,251,Ventilation Ratio|vav-19,20 %,,
Analog Input,252,Ventilation Setpoint Active|vav-19,110 CFM,,
Analog Input,253,Air Valve Position Command|vav-20,46 %,,
Analog Input,254,Air Valve Size|vav-20,300 CFM,,
Analog Input,255,Discharge Air Flow|vav-20,130.8 CFM,,
Analog Input,256,Heating Capacity Secondary Status|vav-20,0 %,,
Analog Input,257,Reheat Type|vav-20,2,,
Analog Input,258,Secondary Communication Address|vav-20,78,,
Analog Input,259,Secondary Communication Link|vav-20,2,,
Analog Input,260,Space Temperature Active|vav-20,72.3 °F,,
Analog Input,261,Space Temperature Setpoint Active|vav-20,73.5 °F,,
Analog Input,262,Supply Fan Type|vav-20,22,,
Analog Input,263,Ventilation Ratio|vav-20,23 %,,
Analog Input,264,Ventilation Setpoint Active|vav-20,30 CFM,,
Analog Input,265,Air Valve Position Command|vav-21,0 %,,
Analog Input,266,Air Valve Size|vav-21,1100 CFM,,
Analog Input,267,Discharge Air Flow|vav-21,264 CFM,,
Analog Input,268,Heating Capacity Secondary Status|vav-21,0 %,,
Analog Input,269,Reheat Type|vav-21,2,,
Analog Input,270,Secondary Communication Address|vav-21,77,,
Analog Input,271,Secondary Communication Link|vav-21,2,,
Analog Input,272,Space Temperature Active|vav-21,79.2 °F,,
Analog Input,273,Space Temperature Setpoint Active|vav-21,80.5 °F,,
Analog Input,274,Supply Fan Speed Status|vav-21,0 %,,
Analog Input,275,Supply Fan Type|vav-21,22,,
Analog Input,276,Ventilation Ratio|vav-21,0 %,,
Analog Input,277,Ventilation Setpoint Active|vav-21,110 CFM,,
Analog Input,278,Air Valve Position Command|vav-22,100 %,,
Analog Input,279,Air Valve Size|vav-22,1100 CFM,,
Analog Input,280,Discharge Air Flow|vav-22,717.2 CFM,,
Analog Input,281,Heating Capacity Secondary Status|vav-22,0 %,,
Analog Input,282,Reheat Type|vav-22,2,,
Analog Input,283,Secondary Communication Address|vav-22,76,,
Analog Input,284,Secondary Communication Link|vav-22,2,,
Analog Input,285,Space Temperature Active|vav-22,71.7 °F,,
Analog Input,286,Space Temperature Setpoint Active|vav-22,72.5 °F,,
Analog Input,287,Supply Fan Type|vav-22,22,,
Analog Input,288,Ventilation Ratio|vav-22,15.000001 %,,
Analog Input,289,Ventilation Setpoint Active|vav-22,110 CFM,,
Analog Input,290,Air Valve Position Command|vav-23,14 %,,
Analog Input,291,Air Valve Size|vav-23,300 CFM,,
Analog Input,292,Discharge Air Flow|vav-23,119.7 CFM,,
Analog Input,293,Heating Capacity Secondary Status|vav-23,0 %,,
Analog Input,294,Reheat Type|vav-23,2,,
Analog Input,295,Secondary Communication Address|vav-23,75,,
Analog Input,296,Secondary Communication Link|vav-23,2,,
Analog Input,297,Space Temperature Active|vav-23,74.2 °F,,
Analog Input,298,Space Temperature Setpoint Active|vav-23,72.5 °F,,
Analog Input,299,Supply Fan Speed Status|vav-23,0 %,,
Analog Input,300,Supply Fan Type|vav-23,22,,
Analog Input,301,Ventilation Ratio|vav-23,25 %,,
Analog Input,302,Ventilation Setpoint Active|vav-23,30 CFM,,
Analog Input,303,Air Valve Position Command|vav-24,0 %,,
Analog Input,304,Air Valve Size|vav-24,1100 CFM,,
Analog Input,305,Discharge Air Flow|vav-24,0 CFM,,
Analog Input,306,Heating Capacity Secondary Status|vav-24,0 %,,
Analog Input,307,Reheat Type|vav-24,2,,
Analog Input,308,Secondary Communication Address|vav-24,74,,
Analog Input,309,Secondary Communication Link|vav-24,2,,
Analog Input,310,Space Temperature Active|vav-24,77.5 °F,,
Analog Input,311,Space Temperature Setpoint Active|vav-24,78.5 °F,,
Analog Input,312,Supply Fan Speed Status|vav-24,0 %,,
Analog Input,313,Supply Fan Type|vav-24,22,,
Analog Input,314,Ventilation Ratio|vav-24,0 %,,
Analog Input,315,Ventilation Setpoint Active|vav-24,110 CFM,,
Analog Input,316,Air Valve Position Command|vav-25,6 %,,
Analog Input,317,Air Valve Size|vav-25,1100 CFM,,
Analog Input,318,Discharge Air Flow|vav-25,0 CFM,,
Analog Input,319,Generic Temperature Input|vav-25,61.3 °F,,
Analog Input,320,Heating Capacity Secondary Status|vav-25,0 %,,
Analog Input,321,Reheat Type|vav-25,2,,
Analog Input,322,Secondary Communication Address|vav-25,73,,
Analog Input,323,Secondary Communication Link|vav-25,2,,
Analog Input,324,Space Temperature Active|vav-25,78.3 °F,,
Analog Input,325,Space Temperature Setpoint Active|vav-25,79 °F,,
Analog Input,326,Supply Fan Speed Status|vav-25,0 %,,
Analog Input,327,Supply Fan Type|vav-25,22,,
Analog Input,328,Ventilation Ratio|vav-25,0 %,,
Analog Input,329,Ventilation Setpoint Active|vav-25,110 CFM,,
Analog Input,330,Air Valve Position Command|vav-26,0 %,,
Analog Input,331,Air Valve Size|vav-26,1100 CFM,,
Analog Input,332,Discharge Air Flow|vav-26,0 CFM,,
Analog Input,333,Generic Temperature Input|vav-26,76.4 °F,,
Analog Input,334,Heating Capacity Secondary Status|vav-26,0 %,,
Analog Input,335,Reheat Type|vav-26,2,,
Analog Input,336,Secondary Communication Address|vav-26,72,,
Analog Input,337,Secondary Communication Link|vav-26,2,,
Analog Input,338,Space Temperature Active|vav-26,76.3 °F,,
Analog Input,339,Space Temperature Setpoint Active|vav-26,79.5 °F,,
Analog Input,340,Supply Fan Speed Status|vav-26,0 %,,
Analog Input,341,Supply Fan Type|vav-26,22,,
Analog Input,342,Ventilation Ratio|vav-26,0 %,,
Analog Input,343,Ventilation Setpoint Active|vav-26,110 CFM,,
Analog Input,344,Air Valve Position Command|vav-27,9 %,,
Analog Input,345,Air Valve Size|vav-27,600 CFM,,
Analog Input,346,Discharge Air Flow|vav-27,66 CFM,,
Analog Input,347,Generic Temperature Input|vav-27,63.7 °F,,
Analog Input,348,Heating Capacity Secondary Status|vav-27,0 %,,
Analog Input,349,Reheat Type|vav-27,2,,
Analog Input,350,Secondary Communication Address|vav-27,70,,
Analog Input,351,Secondary Communication Link|vav-27,2,,
Analog Input,352,Space Temperature Active|vav-27,77.9 °F,,
Analog Input,353,Space Temperature Setpoint Active|vav-27,78.5 °F,,
Analog Input,354,Supply Fan Speed Status|vav-27,0 %,,
Analog Input,355,Supply Fan Type|vav-27,22,,
Analog Input,356,Ventilation Ratio|vav-27,0 %,,
Analog Input,357,Ventilation Setpoint Active|vav-27,60 CFM,,
Analog Input,358,Air Valve Position Command|vav-28,0 %,,
Analog Input,359,Air Valve Size|vav-28,300 CFM,,
Analog Input,360,Discharge Air Flow|vav-28,0 CFM,,
Analog Input,361,Generic Temperature Input|vav-28,75.8 °F,,
Analog Input,362,Heating Capacity Secondary Status|vav-28,0 %,,
Analog Input,363,Reheat Type|vav-28,2,,
Analog Input,364,Secondary Communication Address|vav-28,71,,
Analog Input,365,Secondary Communication Link|vav-28,2,,
Analog Input,366,Space Temperature Active|vav-28,78.5 °F,,
Analog Input,367,Space Temperature Setpoint Active|vav-28,79.5 °F,,
Analog Input,368,Supply Fan Speed Status|vav-28,0 %,,
Analog Input,369,Supply Fan Type|vav-28,22,,
Analog Input,370,Ventilation Ratio|vav-28,0 %,,
Analog Input,371,Ventilation Setpoint Active|vav-28,30 CFM,,
Analog Input,372,activeSetpoint|APEC Classrooms Area-1,74.9952 °F,,
Analog Input,373,outdoorAirDewPoint|APEC Classrooms Area-1,72.279945 °F,,
Analog Input,374,outdoorAirEnthalpy|APEC Classrooms Area-1,37.165115 BTUS_PER_POUND_DRY_AIR,,
Analog Input,375,averageSpaceTemperature|APEC Classrooms Area-1,72.85263 °F,,
Analog Input,376,spaceDewPointTemperature|APEC Classrooms Area-1,44.82958 °F,,
Analog Input,377,spaceEnthalpy|APEC Classrooms Area-1,23.678818 BTUS_PER_POUND_DRY_AIR,,
Analog Input,378,spaceMaxTemperature|APEC Classrooms Area-1,75.9 °F,,
Analog Input,379,spaceMinTemperature|APEC Classrooms Area-1,70.1 °F,,
Analog Input,380,occupiedHeatSetpoint|APEC Classrooms Area-1,70.012794 °F,,
Analog Input,381,occupiedCoolSetpoint|APEC Classrooms Area-1,74.9952 °F,,
Analog Input,382,standbyHeatSetpoint|APEC Classrooms Area-1,64.998 °F,,
Analog Input,383,standbyCoolSetpoint|APEC Classrooms Area-1,80.009995 °F,,
Analog Input,384,activeSetpoint|APEC Offices Area-2,74.9952 °F,,
Analog Input,385,outdoorAirDewPoint|APEC Offices Area-2,72.279945 °F,,
Analog Input,386,outdoorAirEnthalpy|APEC Offices Area-2,37.165115 BTUS_PER_POUND_DRY_AIR,,
Analog Input,387,averageSpaceTemperature|APEC Offices Area-2,76.7 °F,,
Analog Input,388,spaceDewPointTemperature|APEC Offices Area-2,50.673584 °F,,
Analog Input,389,spaceEnthalpy|APEC Offices Area-2,26.964096 BTUS_PER_POUND_DRY_AIR,,
Analog Input,390,spaceMaxTemperature|APEC Offices Area-2,79.2 °F,,
Analog Input,391,spaceMinTemperature|APEC Offices Area-2,71.7 °F,,
Analog Input,392,occupiedHeatSetpoint|APEC Offices Area-2,70.012794 °F,,
Analog Input,393,occupiedCoolSetpoint|APEC Offices Area-2,74.9952 °F,,
Analog Input,394,standbyHeatSetpoint|APEC Offices Area-2,64.998 °F,,
Analog Input,395,standbyCoolSetpoint|APEC Offices Area-2,80.009995 °F,,
Analog Input,396,ductPressOptMaxPos|VPEC AHU-1E VAS-1,100 %,,
Analog Input,397,ventOptVavAirflowGross|VPEC AHU-1E VAS-1,11987.601 CFM,,
Analog Input,398,changeoverNormalCool|VPEC AHU-1E VAS-1,0,,
Analog Input,399,changeoverStrongCool|VPEC AHU-1E VAS-1,0,,
Analog Input,400,changeoverCoolDeviation|VPEC AHU-1E VAS-1,0 Δ°F,,
Analog Input,401,changeoverNormalHeat|VPEC AHU-1E VAS-1,0,,
Analog Input,402,changeoverStrongHeat|VPEC AHU-1E VAS-1,0,,
Analog Input,403,changeoverHeatDeviation|VPEC AHU-1E VAS-1,0 Δ°F,,
Analog Input,404,spaceTempAverage|VPEC AHU-1E VAS-1,73.93214 °F,,
Analog Input,405,spaceTempMinimum|VPEC AHU-1E VAS-1,70.1 °F,,
Analog Input,406,spaceTempMaximum|VPEC AHU-1E VAS-1,79.2 °F,,
Analog Input,407,minDeviation|VPEC AHU-1E VAS-1,-3.199997 Δ°F,,
Analog Input,408,maxDeviation|VPEC AHU-1E VAS-1,2.4000015 Δ°F,,
Analog Input,409,maxHeatValvePosition|VPEC AHU-1E VAS-1,100 %,,
Analog Input,410,Generic Temperature Input|vav-20,59.6 °F,,
Analog Input,411,zFieldhouse KW,0 KILOWATTS,,Reading From Summit Fieldhouse
Analog Input,412,zLLRC Master KW,453.5093 KILOWATTS,,Reading From Summit LLRC
Analog Input,413,zLLRC Slave KW,2267.5464 KILOWATTS,,Reading From Summit LLRC
Analog Input,414,Generic Temperature Input|vav-5,59.6 °F,,
Analog Input,415,Generic Temperature Input|vav-3,68.6 °F,,
Analog Input,416,Discharge Air Temperature|vav-1,67.7 °F,,
Analog Input,417,Discharge Air Temperature|vav-11,59.1 °F,,
Analog Input,418,Discharge Air Temperature|vav-12,59.1 °F,,
Analog Input,419,Discharge Air Temperature|vav-13,59.2 °F,,
Analog Input,420,Discharge Air Temperature|vav-14,84.3 °F,,
Analog Input,421,Discharge Air Temperature|vav-17,72.4 °F,,
Analog Input,422,Discharge Air Temperature|vav-20,59.6 °F,,
Analog Input,423,Discharge Air Temperature|vav-25,61.3 °F,,
Analog Input,424,Discharge Air Temperature|vav-26,76.4 °F,,
Analog Input,425,Discharge Air Temperature|vav-27,63.7 °F,,
Analog Input,426,Discharge Air Temperature|vav-28,75.8 °F,,
Analog Input,427,Discharge Air Temperature|vav-3,68.6 °F,,
Analog Input,428,Discharge Air Temperature|vav-5,59.6 °F,,
Analog Input,429,Discharge Air Temperature|vav-7,59.5 °F,,
Analog Input,430,Discharge Air Temperature|vav-8,52.3 °F,,
Analog Input,431,Discharge Air Temperature|vav-9,75.9 °F,,
Analog Input,432,Facility OA Temp SC-102,77.01798 °F,,
Analog Input,433,Facility OA Humidity SC-102,85.28802 %,,
Analog Input,434,Supply Fan Speed Status|vav-13,0 %,,
Analog Input,435,Supply Fan Speed Status|vav-14,100 %,,
Analog Input,436,Supply Fan Speed Status|vav-16,0 %,,
Analog Input,437,Supply Fan Speed Status|vav-19,0 %,,
Analog Input,438,Supply Fan Speed Status|vav-20,100 %,,
Analog Input,439,Supply Fan Speed Status|vav-22,100 %,,
Analog Input,440,Supply Fan Speed Status|vav-4,0 %,,
Analog Input,441,Supply Fan Speed Status|vav-5,0 %,,
